Timestamp,Username,What is your current position?,In what kind of research institute do you work?,"Which of these software do you use for your Quant Analysis.  [PeptideAtlas (StPeter, Libra, XPress)]",Which of these software do you use for your Quant Analysis.  [OpenMS],Which of these software do you use for your Quant Analysis.  [Other],Which of these software do you use for your Quant Analysis.  [MSnBase (PMID:22113085)],Which of these software do you use for your Quant Analysis.  [moFF],Which of these software do you use for your Quant Analysis.  [FlashLFQ (PMID:29083185)],Which of these software do you use for your Quant Analysis.  [diffacto],Which of these software do you use for your Quant Analysis.  [Skyline],Which of these software do you use for your Quant Analysis.  [Proline (http://www.profiproteomics.fr)],Which of these software do you use for your Quant Analysis.  [MaxQuant],Which of these software do you use for your Quant Analysis.  [Philosopher (Alexey Lab)],Which of these software do you use for your Quant Analysis.  [Patterlab (PMID:26658470)],Which of these software do you use for your Quant Analysis.  [EncyclopeDIA (PMID: 30510204)],Which of these software do you use for your Quant Analysis.  [Census],Which of these software do you use for your Quant Analysis.  [HIQuant (PMID:30282776)],Which commercial software do you use for your Quant Analysis.  [Scaffold],Which commercial software do you use for your Quant Analysis.  [Peak View ],Which commercial software do you use for your Quant Analysis.  [Spectronaut],Which commercial software do you use for your Quant Analysis.  [Progenesis],Which commercial software do you use for your Quant Analysis.  [Mascot ],Which commercial software do you use for your Quant Analysis.  [Proteome Discover],Which commercial software do you use for your Quant Analysis.  [Other],Which commercial software do you use for your Quant Analysis.  [Peaks],If you use other software please add a reference here and a the URL of the tool. You can add also comments.,Which are the features that make you to chose the following software for your data analysis [moFF],Which are the features that make you to chose the following software for your data analysis [EncyclopeDIA (PMID: 30510204)],Which are the features that make you to chose the following software for your data analysis [FlashLFQ (PMID:29083185)],Which are the features that make you to chose the following software for your data analysis [Skyline],"Which are the features that make you to chose the following software for your data analysis [PeptideAtlas (StPeter, Libra, XPress)]",Which are the features that make you to chose the following software for your data analysis [MSnBase (PMID:22113085)],Which are the features that make you to chose the following software for your data analysis [Other],Which are the features that make you to chose the following software for your data analysis [Philosopher (Alexey Lab)],Which are the features that make you to chose the following software for your data analysis [OpenMS],Which are the features that make you to chose the following software for your data analysis [Patterlab (PMID:26658470)],Which are the features that make you to chose the following software for your data analysis [diffacto],Which are the features that make you to chose the following software for your data analysis [Proline (http://www.profiproteomics.fr)],Which are the features that make you to chose the following software for your data analysis [Census],Which are the features that make you to chose the following software for your data analysis [MaxQuant],Which are the features that make you to chose the following software for your data analysis [HIQuant (PMID:30282776)],"Which packages do you use for downstream analysis: normalisation, Batch effect corrections.  ",If you use another packages for downstream analysis can you add them here: URL/Citation.,Which Search engine free do you use,Search engine and type of analysis  [Tide],Search engine and type of analysis  [Sequest],Search engine and type of analysis  [MetaMorpheus],Search engine and type of analysis  [MSGF+],Search engine and type of analysis  [Andromeda],Search engine and type of analysis  [Comet],Search engine and type of analysis  [MSPepSearch],Search engine and type of analysis  [MSFragger],Search engine and type of analysis  [SpectraST ],Search engine and type of analysis  [OMSSA],Search engine and type of analysis  [X!Tandem],Search engine and type of analysis  [MSAmanda],Search engine and type of analysis  [Mascot],"Which type of Protein quant data you would like to see more in proteomics resources. (e.g. PeptideAtlas, ProteomicsDB, etc) [Label-Free Differential expression experiments]","Which type of Protein quant data you would like to see more in proteomics resources. (e.g. PeptideAtlas, ProteomicsDB, etc) [Label-Free Base line expression experiments]","Which type of Protein quant data you would like to see more in proteomics resources. (e.g. PeptideAtlas, ProteomicsDB, etc) [TMT Differential expression experiments]","Which type of Protein quant data you would like to see more in proteomics resources. (e.g. PeptideAtlas, ProteomicsDB, etc) [TMT Base line expression experiments]","Which type of Protein quant data you would like to see more in proteomics resources. (e.g. PeptideAtlas, ProteomicsDB, etc) [SRM/MR expression Experiments]","Which type of Protein quant data you would like to see more in proteomics resources. (e.g. PeptideAtlas, ProteomicsDB, etc) [DIA/SWATH expression experiments]",In case you would like to see something else more represented in Proteomics resources let us know. ,
2019/02/22 7:10:32 PM GMT,user174,Principal Investigator,University,,,Label Free Spectral Count Analysis,,,,,Other Quant analysis,,Label Free Spectral Count Analysis,,,SWATH / DIA Quant;Label Free Spectral Count Analysis,,,SWATH / DIA Quant;Label Free Spectral Count Analysis,,SWATH / DIA Quant,Label Free Analysis MS1,Label Free Spectral Count Analysis,Label Free Analysis MS1,,,,,Open Source;Free,,Desktop Application;Documentation and Support;Open Source;Free,,,,,,,,,,Open Source;Free,,Limma,,X!Tandem;MSAmanda;Mascot;Sequest,,Normal Peptide/Protein identification,,,Normal Peptide/Protein identification,,,,,,Normal Peptide/Protein identification,Normal Peptide/Protein identification,Normal Peptide/Protein identification;Analytical/Bioinformatics methods development,Dataset oriented view,,,,Dataset oriented view,Dataset oriented view,,
2019/02/22 8:19:06 PM GMT,user175,Phd Student,University,,,,,,Label Free Analysis MS1,,,,,,,,,,,,,,,,Label Free Analysis MS1,,,,,Easy to use;Desktop Application;Quality of the Results;Documentation and Support;Flexibility to develop pipelines;Open Source;Free,,,,,,,,,,,,,,,MetaMorpheus,,,Normal Peptide/Protein identification;Phospho proteomics analysis;Protein Characterisation,,,,,,,,,,,,,,,,,,
2019/02/22 8:28:13 PM GMT,user176,,Core Facility,,,,,,Label Free Analysis MS1,,Other Quant analysis,,SILAC analysis;Label Free Analysis MS1;Phospho Quant analysis,,,,,,,,,,,TMT analysis;Label Free Spectral Count Analysis,,,Genedata Expressionist,,Easy to use,Documentation and Support;Free,,,,,,,,,,,Easy to use;Quality of the Results;Maturity (No much errors);Free;Internal benchmark with other tools suggest better/similar results,,Limma;Perseus,,Andromeda;MSFragger;Sequest;MetaMorpheus,,Phospho proteomics analysis,Normal Peptide/Protein identification;Phospho proteomics analysis,,Normal Peptide/Protein identification;Phospho proteomics analysis,,,,,,,,,Dataset oriented view,,,,,,,
2019/02/22 10:12:54 PM GMT,user177,Research Scientist - Staff,Research Institute,,,,,,,,,,TMT analysis;SILAC analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Perseus,,,,,,,,,,,,,,,,,,,,,,,
2019/02/23 4:17:49 AM GMT,user178,Phd Student,University,,,,,,Label Free Analysis MS1,,Label Free Analysis MS1,,Label Free Analysis MS1,,Label Free Analysis MS1,,,,,,,,,,,,,,,Easy to use;Desktop Application;Documentation and Support;Free,,,,,,Easy to use;Desktop Application,Easy to use;Desktop Application;Free,,,,Easy to use;Support for multiple Quant methods;Desktop Application;Quality of the Results;Compatibility with other softwares;Open Source;Free;Internal benchmark with other tools suggest better/similar results,,Perseus,,X!Tandem;Comet;Andromeda;Mascot;MetaMorpheus,,,Normal Peptide/Protein identification;Phospho proteomics analysis,,Normal Peptide/Protein identification,Normal Peptide/Protein identification,,,,,Normal Peptide/Protein identification;Protein Characterisation,,,Dataset oriented view,Dataset oriented view,,,,,,
2019/02/23 5:20:25 PM GMT,user179,Post-Doc,University,,,,,,,,Label Free Analysis MS1;SWATH / DIA Quant,,,,,,,,,,,,,,,,,,,,Easy to use;Support for multiple Quant methods;Quality of the Results;Documentation and Support;Maturity (No much errors);Open Source;Free,,,,,,,,,,,,MSstats;In house pipeline.;Limma,,Comet;Tide;MSFragger,Normal Peptide/Protein identification;Analytical/Bioinformatics methods development,,,,,Normal Peptide/Protein identification;Analytical/Bioinformatics methods development,,,,,,,,,,,,,Dataset oriented view;Meta-analysis view (multiple datasets combined),,
2019/02/23 5:51:43 PM GMT,user180,Post-Doc,University,,,TMT analysis;Label Free Analysis MS1;SWATH / DIA Quant;Other Quant analysis;Label Free Spectral Count Analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,Flexibility to develop pipelines;Free,,,,,,,,,MSnbase;In house pipeline.;Limma;edgeR,,X!Tandem;Comet;MSGF+;Tide;MSFragger;Sequest,Normal Peptide/Protein identification,Normal Peptide/Protein identification,,Normal Peptide/Protein identification,,Normal Peptide/Protein identification;ProteoGenomics;Analytical/Bioinformatics methods development,,Normal Peptide/Protein identification,,,Normal Peptide/Protein identification,,Normal Peptide/Protein identification,,,,,,,,
2019/02/24 2:43:21 PM GMT,user181,Principal Investigator;Research Scientist - Staff,Research Institute,,,TMT analysis;Phospho Quant analysis;Other Quant analysis,,,,,,,Label Free Analysis MS1,,,,,,,,,,,,,,informed proteomics for top down quantification,,,,,,,,,,,,,,Easy to use;Desktop Application;Maturity (No much errors);Free,,pMartR,,MSGF+;Andromeda,,,,Normal Peptide/Protein identification;Phospho proteomics analysis;ProteoGenomics;Analytical/Bioinformatics methods development,Analytical/Bioinformatics methods development,,,,,,,,,Meta-analysis view (multiple datasets combined),Meta-analysis view (multiple datasets combined),Meta-analysis view (multiple datasets combined),,,Meta-analysis view (multiple datasets combined),,
2019/02/25 7:56:55 AM GMT,user182,Principal Investigator,"Hospital, Research Hospital",TMT analysis;SILAC analysis;Label Free Analysis MS1;Phospho Quant analysis;Other Quant analysis;Label Free Spectral Count Analysis,,TMT analysis;SILAC analysis;Label Free Analysis MS1;Phospho Quant analysis;Other Quant analysis;Label Free Spectral Count Analysis,,,,,,,,,,,,,,,,,SILAC analysis;Other Quant analysis,,,,,,,,,Easy to use;Support for multiple Quant methods;Quality of the Results;Documentation and Support;Easy to run in HPC / Cloud enviroments;Flexibility to develop pipelines;Compatibility with other softwares;Maturity (No much errors);Open Source;Free;Internal benchmark with other tools suggest better/similar results,,,,,,,,,,,In house pipeline.;Limma,,X!Tandem;Comet;MSGF+;Mascot;SpectraST,,,,Normal Peptide/Protein identification;Phospho proteomics analysis;Analytical/Bioinformatics methods development,,Normal Peptide/Protein identification;Phospho proteomics analysis;ProteoGenomics;Analytical/Bioinformatics methods development,,,Normal Peptide/Protein identification,,Normal Peptide/Protein identification;Phospho proteomics analysis;ProteoGenomics;Analytical/Bioinformatics methods development,,Normal Peptide/Protein identification,Meta-analysis view (multiple datasets combined),Meta-analysis view (multiple datasets combined),Dataset oriented view;Meta-analysis view (multiple datasets combined),Dataset oriented view;Meta-analysis view (multiple datasets combined),Meta-analysis view (multiple datasets combined),Meta-analysis view (multiple datasets combined),,
2019/02/25 1:19:13 PM GMT,user183,Research Scientist - Staff,Core Facility,,,,,,,,,Label Free Analysis MS1,Label Free Analysis MS1,,,,,,,,,,,,,Label Free Analysis MS1,,,,,,,,,,,,,Easy to use;Quality of the Results;Free;Internal benchmark with other tools suggest better/similar results,,Quality of the Results;Compatibility with other softwares;Free;Internal benchmark with other tools suggest better/similar results,,Perseus;ProStar,http://www.prostar-proteomics.org/,X!Tandem;Andromeda;Mascot,,,,,,,,,,,Normal Peptide/Protein identification;Phospho proteomics analysis;Protein Characterisation,,Normal Peptide/Protein identification;Phospho proteomics analysis,Dataset oriented view;Meta-analysis view (multiple datasets combined),,,,,,,
2019/02/25 9:46:08 PM GMT,user184,Director,Core Facility,,,Label Free Analysis MS1,,,,,,,SILAC analysis;Label Free Analysis MS1,,,,,,,,,,,SILAC analysis;Label Free Analysis MS1,,,Perseus,,,,,,,,,,,,,,Easy to use;Support for multiple Quant methods;Desktop Application;Free,,Perseus,,Andromeda,,,,,Normal Peptide/Protein identification;Phospho proteomics analysis,,,,,,,,,Dataset oriented view;Meta-analysis view (multiple datasets combined),Dataset oriented view;Meta-analysis view (multiple datasets combined),,,,,,
2019/02/25 9:56:59 PM GMT,user185,Developer - Bioinformatician,"Company, Start-up, Pharma",,,,,,,,SWATH / DIA Quant,,,,,,,,,,,,TMT analysis;SILAC analysis;Label Free Analysis MS1;Phospho Quant analysis;Other Quant analysis;Label Free Spectral Count Analysis,,,,,,,,Easy to use;Quality of the Results;Documentation and Support;Maturity (No much errors),,,,,,,,,,,,In house pipeline.;Perseus,,Mascot,,,,,,,,,,,,,Normal Peptide/Protein identification;Phospho proteomics analysis;ProteoGenomics;Analytical/Bioinformatics methods development;Protein Characterisation,,,,,,,,
2019/02/26 6:43:49 AM GMT,user186,Post-Doc,Research Institute,,,,,,,,,,,,TMT analysis;Label Free Analysis MS1;Phospho Quant analysis;Other Quant analysis;Label Free Spectral Count Analysis,,,,,,,,,Label Free Analysis MS1,,Other Quant analysis,,,,,,,,,,,Easy to use;Support for multiple Quant methods;Desktop Application;Quality of the Results;Documentation and Support;Easy to run in HPC / Cloud enviroments;Flexibility to develop pipelines;Compatibility with other softwares;Maturity (No much errors);Open Source;Free;Internal benchmark with other tools suggest better/similar results,,,,,,In house pipeline.,,Comet,,,,,,Normal Peptide/Protein identification;Analytical/Bioinformatics methods development,,,,,,,,Dataset oriented view,Dataset oriented view,Dataset oriented view,Dataset oriented view,,,,
2019/02/26 12:33:02 PM GMT,user187,Research Scientist - Staff,Core Facility,,,,,,,,,,Label Free Analysis MS1,,,,,,,SWATH / DIA Quant,,,,Label Free Analysis MS1,,,,,,,,,,,,,,,,,Documentation and Support;Open Source;Free,,Perseus;Proteome Discovere,,MSAmanda;Mascot;Sequest,,Normal Peptide/Protein identification,,,,,,,,,,Normal Peptide/Protein identification,Normal Peptide/Protein identification,Dataset oriented view;Meta-analysis view (multiple datasets combined),,,,,Dataset oriented view;Meta-analysis view (multiple datasets combined),,
2019/02/26 10:27:57 PM GMT,user188,Post-Doc,University,,,,,,,,,,TMT analysis;SILAC analysis;Label Free Analysis MS1;Phospho Quant analysis,,,,,,,,,,,TMT analysis;SILAC analysis;Label Free Analysis MS1,,,,,,,,,,,,,,,,,Easy to use;Support for multiple Quant methods;Desktop Application;Quality of the Results;Documentation and Support;Maturity (No much errors);Open Source;Free;Internal benchmark with other tools suggest better/similar results,,Limma;Perseus,,Andromeda;MetaMorpheus,,,Normal Peptide/Protein identification,,Normal Peptide/Protein identification;Phospho proteomics analysis;ProteoGenomics,,,,,,,,,Dataset oriented view;Meta-analysis view (multiple datasets combined),Dataset oriented view;Meta-analysis view (multiple datasets combined),Dataset oriented view;Meta-analysis view (multiple datasets combined),Dataset oriented view;Meta-analysis view (multiple datasets combined),Dataset oriented view;Meta-analysis view (multiple datasets combined),,,
2019/02/27 2:33:52 AM GMT,user189,Project Manager,"Hospital, Research Hospital",,,,,,,,TMT analysis;SILAC analysis,,TMT analysis;SILAC analysis,,,,,,Label Free Analysis MS1;Phospho Quant analysis;Label Free Spectral Count Analysis,,,,TMT analysis;SILAC analysis;Label Free Analysis MS1;Phospho Quant analysis;Label Free Spectral Count Analysis,TMT analysis;SILAC analysis;Label Free Analysis MS1;Phospho Quant analysis;Label Free Spectral Count Analysis,,,,,,,Easy to use;Support for multiple Quant methods;Desktop Application;Quality of the Results;Documentation and Support;Compatibility with other softwares;Free,,,,,,,,,,Easy to use;Support for multiple Quant methods;Desktop Application;Quality of the Results;Documentation and Support;Compatibility with other softwares;Free,,In house developped,,Andromeda,,Normal Peptide/Protein identification;Phospho proteomics analysis;ProteoGenomics;Analytical/Bioinformatics methods development;Protein Characterisation,,,Normal Peptide/Protein identification;Phospho proteomics analysis;ProteoGenomics;Analytical/Bioinformatics methods development;Protein Characterisation,,,,,,,,Normal Peptide/Protein identification;Phospho proteomics analysis;ProteoGenomics;Analytical/Bioinformatics methods development;Protein Characterisation,Dataset oriented view;Meta-analysis view (multiple datasets combined),Dataset oriented view;Meta-analysis view (multiple datasets combined),Dataset oriented view;Meta-analysis view (multiple datasets combined),Dataset oriented view;Meta-analysis view (multiple datasets combined),Dataset oriented view;Meta-analysis view (multiple datasets combined),,,
2019/02/27 8:53:15 PM GMT,user190,Principal Investigator,University,,,,,,,,,,TMT analysis;Label Free Analysis MS1,,,,,,,,,,,TMT analysis,,,,,,,,,,,,,,,,,Easy to use;Support for multiple Quant methods;Quality of the Results;Documentation and Support;Maturity (No much errors);Free,,Limma;Perseus;edgeR,,Andromeda;Sequest,,Normal Peptide/Protein identification,,,Normal Peptide/Protein identification,,,,,,,,,,,,,,,,
2019/03/01 7:56:09 AM GMT,user191,Research Scientist - Staff,"Company, Start-up, Pharma",,,Label Free Spectral Count Analysis,,,,,,,,,,,,,,,,,,Label Free Spectral Count Analysis,,,,,,,,,,Easy to use;Documentation and Support,,,,,,,,,Perseus,,MSAmanda,,,,,,,,,,,,Normal Peptide/Protein identification,,Dataset oriented view,,,,Dataset oriented view,,,
2019/03/04 3:24:00 PM GMT,user192,Phd Student,University,,,,,,,,SWATH / DIA Quant,,Label Free Analysis MS1,,,,,,,,,,,,,,,,,,Easy to use;Desktop Application;Quality of the Results;Free,,,,,,,,,,Easy to use;Desktop Application;Quality of the Results;Free,,In house pipeline.,,X!Tandem;MSGF+;Tide;OMSSA;Andromeda,Normal Peptide/Protein identification,,,Normal Peptide/Protein identification,Normal Peptide/Protein identification,,,,,Normal Peptide/Protein identification,Normal Peptide/Protein identification,,,Meta-analysis view (multiple datasets combined),Meta-analysis view (multiple datasets combined),,,,Meta-analysis view (multiple datasets combined),,
2019/03/04 8:31:14 PM GMT,user193,Post-Doc,University,,,,,,,,,,SILAC analysis;Label Free Analysis MS1;Phospho Quant analysis,TMT analysis;Label Free Analysis MS1,,,,,,,,,,,,,,,,,,,,,Flexibility to develop pipelines;Compatibility with other softwares;Maturity (No much errors);Free,,,,,,Support for multiple Quant methods;Quality of the Results;Free,,In house pipeline.,,Comet;MSGF+;MSFragger,,,,Normal Peptide/Protein identification;Phospho proteomics analysis,,Normal Peptide/Protein identification;Phospho proteomics analysis,,Normal Peptide/Protein identification,,,,,,,,,,,,Data set widely used in software benchmarking.,
2019/03/04 8:31:27 PM GMT,user194,Post-Doc,University,,,,,,,,,,,TMT analysis;Label Free Analysis MS1;Phospho Quant analysis,,,,,,,,,,TMT analysis;Label Free Analysis MS1,,,,,,,,,,,Easy to use;Support for multiple Quant methods;Quality of the Results;Documentation and Support,,,,,,,,,,MSFragger,,,,,,,,Normal Peptide/Protein identification;Phospho proteomics analysis;ProteoGenomics;Analytical/Bioinformatics methods development,,,,,,Dataset oriented view,Dataset oriented view,Dataset oriented view,Dataset oriented view,Dataset oriented view,Dataset oriented view,,
2019/03/04 8:33:11 PM GMT,user195,Phd Student,University,,,,,,,,,,,TMT analysis;Label Free Analysis MS1;Phospho Quant analysis;Other Quant analysis;Label Free Spectral Count Analysis,,,,,,,,,,,,,,,,,,,,,Easy to use;Support for multiple Quant methods;Quality of the Results;Easy to run in HPC / Cloud enviroments;Flexibility to develop pipelines;Open Source;Free;Internal benchmark with other tools suggest better/similar results,,,,,,,,In house pipeline.,,MSFragger,,,,,,,,Normal Peptide/Protein identification;Phospho proteomics analysis;Analytical/Bioinformatics methods development,,,,,,,,Dataset oriented view;Meta-analysis view (multiple datasets combined),Dataset oriented view;Meta-analysis view (multiple datasets combined),,,,
2019/03/04 8:37:56 PM GMT,user196,Principal Investigator,University,,,,,,,,,,,TMT analysis;Label Free Analysis MS1;SWATH / DIA Quant;Label Free Spectral Count Analysis,,,,,,,SWATH / DIA Quant,,,,,,,,,,,,,,Easy to run in HPC / Cloud enviroments;Flexibility to develop pipelines;Compatibility with other softwares;Maturity (No much errors);Free,,,,,,,,,,MSFragger,,,,,,,,Normal Peptide/Protein identification;Phospho proteomics analysis;ProteoGenomics;Analytical/Bioinformatics methods development;Protein Characterisation,,,,,,,,,,,,,
2019/03/06 5:17:32 PM GMT,user197,Research Scientist - Staff,"Company, Start-up, Pharma",,,,Label Free Analysis MS1;Other Quant analysis,,,,,,,,,,,,,,,,,,,,,,,,,,Easy to use;Support for multiple Quant methods;Desktop Application;Documentation and Support;Easy to run in HPC / Cloud enviroments;Flexibility to develop pipelines;Maturity (No much errors);Open Source;Free,,,,,,,,,,In house pipeline.,,,,,,,,,,,,,,,,,,,,,,,
